code accident;date;mois;ann‚e;horaire;heure;d‚partement;commune;massif;site;latitude;longitude;altitude;inclinaison;orientation;groupe;emport‚s;"ensevelis 
tˆte";"ensevelis 
total";"ensevelis partiels 
critiques";"ensevelis partiels 
non critiques";d‚c‚d‚s;bless‚es;indemnes;activit‚;"engin 
progression";‚volution;BRA;"qualit‚ 
neige";"coh‚sion
neige";"type 
d‚part";cause d‚part;"d‚nivel‚
(mŠtres)";"largeur 
cassure
(mŠtres)";"‚paisseur
cassure max.  
(cm)";;;
1718-66-01;30/12/2017;12;2017;13:10;13;66;porta;capcir puymorens;pic dels pedrons;42.3155 ; 1.4511;2610;40-44;SE;4;4;0;0;0;4;0;0;4;randonn‚e;ski;descente;4;sŠche;dure;lin‚aire;accidentelle soi-mˆme;130;100;120;;;
1415-09-02;03/03/2015;3;2015;15:00;15;9;l'hospitalet pres l'andorre;haute ariege;roc de carroux / voie RN 320;42.34491;1.47064;1900;40-44;SE;2;2;0;0;0;0;0;0;2;voie de communication;v‚hicule route;travers‚e;3;humide;dure;lin‚aire;naturelle;350;15;150;;;
1415-09-01;18/01/2015;1;2015;13:00;13;9;auzat;haute ariege;secteur etang du pinet;42.40591;1.23254;2440;35-39;NO;2;1;1;1;0;0;1;0;0;alpinisme;… pieds;travers‚e;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;50;;;;;
1718-65-04;13/02/2018;2;2018;14:45;14;65;gavarnie;haute bigorre;piste gypaete / pic de la Pahule;42.4322 ; 0.149;2120;35-39;N;1;1;1;1;0;0;1;0;0;hors-piste;ski;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;100;8;30;;;
1011-09-01;18/02/2011;2;2011;;;9;ustou;couserans;etang de la lacarde;42.44305;1.16224;2000;30-34;N;2;1;1;;;;0;0;1;randonn‚e;;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;80;350;40;;;
1112-31-01;18/02/2012;2;2012;;;31;bagnŠres de luchon;luchonnais;pic d'aubas;42.444766;0.394289;2030;30-34;NO;5;5;0;0;0;0;0;0;5;randonn‚e;;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;;150;100;;;
1011-31-01;22/02/2011;2;2011;;;31;O“;;vallon d'esquierry;42.45208;0.27562;2250;35-39;SE;2;2;2;;;;2;0;0;randonn‚e;;descente;4;humide;tendre;ponctuel;naturelle;180;;;;;
1617-64-01;14/01/2017;1;2017;12:17;12;64;laruns;aspe ossau;crete de gabarderes;42.515;0.226;2300;35-39;N;3;3;2;2;0;1;1;1;1;randonn‚e;ski;descente;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;450;100;;;;
1718-65-02;09/01/2018;1;2018;13:30;13;65;cauterets;haute bigorre;cascade ilh‚ou;42.5210 ; 0.946;1790;30-34;N;2;1;0;0;0;1;0;1;0;randonn‚e;ski;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;60;;30;;;
1718-65-09;23/02/2018;2;2018;;;65;vieille aure;aure louron;versant sud pic d'aygues cluses;42.52158 ; 0.1000;2570;>45;SE;1;1;1;1;0;0;1;0;0;randonn‚e;ski;mont‚e;3;sŠche;;lin‚aire;naturelle s‚rac/corniche;140;;;;;
1718-65-05;14/02/2018;2;2018;14:45;14;65;cauterets;haute bigorre;piste asphodele / pic de Monn‚;42.5330 ; 0.1014;2600;>45;SE;3;3;3;3;0;0;3;0;0;hors-piste;snowboard;descente;3;humide;dure;lin‚aire;naturelle;800;200;;;;
1718-65-08;31/03/2018;3;2018;15:30;15;65;ferrŠre;haute bigorre;montagne d'areng / couloir le potager du retrait‚;42.545460 ; 0.275420;1900;35-39;N;3;2;1;0;1;1;1;1;0;alpinisme;… pieds;mont‚e;3;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;185;;;;;
1415-64-01;17/02/2015;2;2015;16:15;16;64;eaux bonnes;ossau;route D918 / ravin des arrious;42.57584;0.19413;1690;35-39;SO;5;5;4;4;0;1;0;3;2;randonn‚e;… pieds;travers‚e;3;humide;tendre;ponctuel;naturelle;365;;;;;
1011-65-02;08/05/2011;5;2011;10:00;10;65;gedre;haute bigorre;pic de Gabiedou;42.719622875365395;0.09459442206330827;2280;>45;NO;2;1;1;;;;1;0;0;randonn‚e;;mont‚e;;humide;tendre;lin‚aire;naturelle;100;;;;;
1415-06-01;07/12/2014;12;2014;10:45;10;6;isola;mercantour;cime lombarde;44.1215;7.0937;2600;35-39;SO;4;4;0;0;0;0;0;0;4;randonn‚e;ski;mont‚e;;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;100;100;20;;;
1314-06-01;26/01/2014;1;2014;10:10;10;6;st etienne tinee;mercantour;Auron sous telesiege d“me;44.12448;6.54048;2300;35-39;E;2;1;1;1;0;0;1;0;0;hors-piste;ski;descente;3;sŠche;dure;lin‚aire;accidentelle soi-mˆme;350;30;20;;;
1213-06-01;15/04/2013;4;2013;13:25;13;6;st etienne tinee;mercantour;secteur dome station auron;44.1250;6.5425;2150;30-34;E;2;1;1;1;0;0;1;0;0;hors-piste;;descente;4;humide;tendre;lin‚aire;;100;100;70;;;
1415-06-02;28/12/2014;12;2014;11:40;11;6;saint etienne de tinee;mercantour;secteur cimetiŠre des dames;44.13233;6.53277;2300;40-44;NE;3;1;1;1;0;0;1;0;0;hors-piste;ski;descente;2;sŠche;dure;lin‚aire;accidentelle soi-mˆme;225;15;30;;;
1718-06-01;02/03/2018;3;2018;10:30;10;6;entraunes;haut var;estenc / tˆte de cr‚pine / cabane garret;44.152 ; 6.4440;2280;35-39;E;6;6;5;4;1;1;4;1;1;randonn‚e;ski fond;arrˆt;4;sŠche;tendre;lin‚aire;;230;;110;;;
1617-06-01;07/03/2017;3;2017;12:00;12;6;isola;mercantour;sistron cloutas;44.174251;7.124020;;;;1;1;0;0;0;1;0;0;1;hors-piste;ski;descente;3;sŠche;;lin‚aire;accidentelle soi-mˆme;;;;;;
1617-06-02;07/03/2017;3;2017;14:15;14;6;isola;mercantour;sistron cloutas;44.174251;7.124020;;;;1;1;0;0;0;1;0;0;1;hors-piste;ski;descente;3;sŠche;;lin‚aire;accidentelle soi-mˆme;;;;;;
1516-04-01;05/03/2016;3;2016;16:40;16;4;enchastrayes;ubaye;les roubines / super sauze;44.20521;6.40454;1970;40-44;N;2;2;0;0;0;1;0;1;1;hors-piste;ski;descente;4;sŠche;tendre;lin‚aire;accidentelle soi-mˆme;70;40;40;;;
1415-06-03;06/02/2015;2;2015;;;6;isola;mercantour;route accŠs isola M97;44.208854;7.111739;;;;3;3;0;0;0;0;0;0;3;voie de communication;v‚hicule route;travers‚e;4;sŠche;;;naturelle;;;;;;
1213-04-01;19/03/2013;3;2013;15:30;15;4;montclar;ubaye;face ouest dormillouse;44.24236;6.22569;2340;35-39;O;3;1;1;1;0;0;1;0;0;hors-piste;;descente;4;humide;tendre;lin‚aire;accidentelle soi-mˆme;450;150;;;;
